                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
const                                                 3.881915   0.002270  1709.724304  0.00000000****                     3.877465                     3.886365
1000 Stories 2014                                     0.409561   0.234168     1.749009      0.08029468                    -0.049408                     0.868531
1000 Stories 2015                                     0.207645   0.202798     1.023897      0.30588805                    -0.189841                     0.605130
1000 Stories 2016                                     0.137029   0.202798     0.675692      0.49923868                    -0.260456                     0.534515
1000 Stories 2017                                     0.113342   0.202798     0.558892      0.57623761                    -0.284143                     0.510828
1000 Stories 2018                                     0.247921   0.202798     1.222498      0.22152414                    -0.149565                     0.645406
14 Hands 2011                                        -0.157847   0.153308    -1.029608      0.30319847                    -0.458332                     0.142638
14 Hands 2012                                        -0.160908   0.165589    -0.971731      0.33118860                    -0.485464                     0.163648
14 Hands 2013                                        -0.111832   0.153308    -0.729457      0.46572536                    -0.412317                     0.188653
14 Hands 2014                                        -0.301111   0.143409    -2.099664      0.03576262                    -0.582193                    -0.020029
14 Hands 2015                                        -0.247742   0.153308    -1.615975      0.10610507                    -0.548227                     0.052743
14 Hands 2016                                        -0.112607   0.143409    -0.785214      0.43233115                    -0.393689                     0.168476
19 Crimes 2011                                       -0.041883   0.128273    -0.326517      0.74403432                    -0.293299                     0.209532
19 Crimes 2012                                        0.030288   0.153308     0.197565      0.84338574                    -0.270197                     0.330773
19 Crimes 2013                                       -0.171769   0.128273    -1.339093      0.18054561                    -0.423185                     0.079646
19 Crimes 2014                                       -0.077678   0.135209    -0.574499      0.56563265                    -0.342689                     0.187334
19 Crimes 2015                                        0.165889   0.135209     1.226900      0.21986515                    -0.099123                     0.430900
19 Crimes 2016                                       -0.045967   0.135209    -0.339968      0.73388185                    -0.310978                     0.219044
19 Crimes 2017                                       -0.039088   0.135209    -0.289091      0.77251284                    -0.304099                     0.225923
19 Crimes 2018                                       -0.118304   0.128273    -0.922280      0.35638622                    -0.369719                     0.133112
19 Crimes 2019                                        0.024348   0.128273     0.189813      0.84945613                    -0.227068                     0.275764
