                          Coefficient      t-value         P-value
const                        3.881915  1709.724304  0.00000000****
Caymus 2010                  0.819157     4.515971   0.00000631***
Caymus 2012                  0.808315     4.456195   0.00000836***
Château Margaux 2004         0.872212     3.724734    0.00019570**
Nosotros 2014                0.840403     3.588895    0.00033235**
Pago de Carraovejas 2009     0.819457     4.517625   0.00000627***
Pago de Carraovejas 2018     0.828289     4.084297    0.00004427**
Silver Oak 2007              0.827969     4.082718    0.00004457**
Silver Oak 2014              0.916108     5.050453  0.00000044****
Vega Sicilia 2000            0.909533     3.884110    0.00010282**
Vega Sicilia 2003            0.854087     3.647331    0.00026521**
Vega Sicilia 2004            0.895414     3.823813    0.00013154**
Vega Sicilia 2005            0.927762     3.961956    0.00007443**
Vega Sicilia 2006            0.899816     3.842614    0.00012186**
Vega Sicilia 2007            0.862506     3.683281    0.00023046**
Vega Sicilia 2008            0.897957     3.834676    0.00012586**
Vega Sicilia 2009            0.870633     3.717990    0.00020100**
Vega Sicilia 2010            0.891497     3.807088    0.00014075**
Vega Sicilia 2011            0.850571     3.632315    0.00028113**
Vega Sicilia 2012            0.909832     3.885386    0.00010228**
Vega Sicilia 2013            0.909367     3.883401    0.00010312**
Vega Sicilia 2014            0.803720     3.432242     0.00059902*
Vega Sicilia 2015            0.931377     3.977395    0.00006976**
