WineryName	Count
Casillero del Diablo	78994
Antinori	78735
Catena Zapata	52448
Tarapacá	44529
Marqués de Riscal	43588
Familia Torres	40613
Louis Jadot	40581
Concha y Toro	39630
Esporão	39343
Luigi Bosca	36016
Masi	35430
Cartuxa	35152
Penfolds	34474
Chateau Ste. Michelle	32933
Apothic	32330
Rutini	31512
Casa Ferreirinha	28357
Campo Viejo	28205
Banfi	27814
Santa Rita	27626
Bogle	26368
Caymus	25837
Beringer	25773
Trapiche	25547
Zenato	25243
Montes	24975
Francis Ford Coppola Winery	24745
El Coto	24351
Marques de Casa Concha	24328
San Marzano	23456
Barefoot	23343
Tommasi	23254
Ruffino	23243
Alamos	22819
La Rioja Alta	22432
E. Guigal	22224
Tenuta San Guido	22190
Protos	21992
Salentein	21936
Ornellaia	21921
Meiomi	21905
San Pedro	21802
Gaja	21240
19 Crimes	21070
José Maria da Fonseca	20629
Undurraga	20608
Bodegas Faustino	20584
Baron de Ley	20551
Muga	20067
Robert Mondavi Private Selection	19950
M. Chapoutier	19942
Emiliana	19633
Michael David Winery	19474
Farnese	19382
Errazuriz	19378
Stag's Leap Wine Cellars	19367
Joseph Drouhin	18763
Ventisquero	18636
Mouton Cadet	18398
Louis Latour	18319
Jacob's Creek	18296
Doña Paula	18269
Marqués de Cáceres	17991
Bodega Norton	17739
The Prisoner	17508
Miguel Torres Chile	17494
Luccarelli	17490
Marqués de Murrieta	17293
Kendall-Jackson	16927
Ramón Bilbao	16724
Santa Carolina	16431
Cune (CVNE)	16381
Miolo	16169
Nieto Senetiner	15766
Fontanafredda	15575
Marchesi di Barolo	15460
Allegrini	15274
Juan Gil	14908
Escorihuela Gascón	14848
Robert Mondavi	14699
Pata Negra	14480
Yellow Tail	14337
Cono Sur	14262
Vega Sicilia	14157
Villa Maria	13920
Stags' Leap	13802
Trivento	13492
Bacalhôa	13488
Charles Smith	13339
Lindeman's	13074
Cloudy Bay	13065
Bouchard Père & Fils	12922
Carpineto	12620
Cline Family Cellars	12608
Toro Loco®	12523
Bodega Finca Las Moras	12420
Fetzer	12352
